

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2014          Hasta fecha:31/12/2014          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        15/Ene/2014      2794         2896entas                phan            -9.00             17.00       -153.00 
        02/Ene/2014      2797         2900entas                phoc          -50.00              17.00       -850.00 
        03/Ene/2014      2798         2902entas                phoc          -61.00              17.00       -1,037.00 
        04/Ene/2014      2799         2904entas                phoc          -34.00              17.00       -578.00 
        05/Ene/2014      2800         2906entas                phoc          -23.00              17.00       -391.00 
        06/Ene/2014      2801         2908entas                phoc          -48.00              17.00       -816.00 
        08/Ene/2014      2802         2909entas                phoc          -33.00              17.00       -561.00 
        16/Ene/2014      2805         2912entas                acuat         -22.00              22.00       -484.00 
        16/Ene/2014      2806         2913entas                miche           -3.00             22.00         -66.00 
        16/Ene/2014      2810         2917entas                stvbo         -17.00              22.00       -374.00 
        16/Ene/2014      2811         2918entas              MOSTR             -3.00             22.00         -66.00 

        16/Ene/2014      2812         2919entas                pdivi         -29.00              17.00       -493.00 
        16/Ene/2014      2813         2920entas                phoc          -49.00              17.00       -833.00 
        16/Ene/2014      2814         2921entas                phan          -28.00              17.00       -476.00 
        17/Ene/2014      2815         2922entas                acuat           -6.00             22.00       -132.00 
        17/Ene/2014      2816         2923entas                stvbo           -4.00             22.00         -88.00 
        17/Ene/2014      2818         2925entas                klaus         -10.00              20.00       -200.00 
        17/Ene/2014      2819         2926entas              MOSTR             -7.00             25.00       -175.00 
        17/Ene/2014      2820         2927entas                trist           -8.00             22.00       -176.00 
        17/Ene/2014      2824         2931entas                pepe          -14.00              17.00       -238.00 
        17/Ene/2014      2825         2932entas                pdivi         -28.00              17.00       -476.00 
        17/Ene/2014      2826         2933entas                phoc          -43.00              17.00       -731.00 
        18/Ene/2014      2827         2934entas                acuat         -18.00              22.00       -396.00 
        18/Ene/2014      2832         2939entas                klaus           -6.00             20.00       -120.00 
        18/Ene/2014      2833         2940entas                henry           -1.00             22.00         -22.00 

        18/Ene/2014      2834         2941entas              MOSTR             -4.00             25.00       -100.00 
        18/Ene/2014      2835         2942entas                pepe          -16.00              17.00       -272.00 
        18/Ene/2014      2836         2943entas                pdivi         -16.00              17.00       -272.00 
        18/Ene/2014      2837         2944entas                phoc          -65.00              17.00       -1,105.00 
        18/Ene/2014      2838         2945entas                phan          -26.00              17.00       -442.00 
        19/Ene/2014      2839         2946entas                acuat         -18.00              22.00       -396.00 
        19/Ene/2014      2840         2947entas                klaus           -6.00             20.00       -120.00 
        19/Ene/2014      2842         2949entas                trist           -6.00             22.00       -132.00 
        19/Ene/2014      2846         2953entas                camil           -2.00             22.00         -44.00 
        19/Ene/2014      2847         2954entas                arian           -2.00             22.00         -44.00 
        19/Ene/2014      2849         2956entas                pepe            -2.00             17.00         -34.00 
        19/Ene/2014      2850         2957entas                phoc          -51.00              17.00       -867.00 
        19/Ene/2014      2851         2958entas                pdivi           -6.00             17.00       -102.00 

        20/Ene/2014      2852         2959entas                acuat         -24.00              22.00       -528.00 
        20/Ene/2014      2856         2963entas                rogel           -1.00             22.00         -22.00 
        20/Ene/2014      2857         2964entas                phili           -9.00             25.00       -225.00 
        20/Ene/2014      2858         2965entas                rivie           -7.00             25.00       -175.00 
        20/Ene/2014      2859         2966entas                yucat           -4.00             22.00         -88.00 
        20/Ene/2014      2860         2967entas                klaus         -10.00              20.00       -200.00 
        20/Ene/2014      2861         2968entas                stvbo           -8.00             22.00       -176.00 
        20/Ene/2014      2863         2970entas                pepe          -13.00              17.00       -221.00 
        20/Ene/2014      2864         2971entas                pdivi           -4.00             17.00         -68.00 
        20/Ene/2014      2865         2972entas                phoc          -53.00              17.00       -901.00 
        31/Ene/2014      2865         3122anc. factura         phoc            53.00             17.00         901.00 
        20/Ene/2014      2866         2973entas                luisr         -10.00              20.00       -200.00 
        21/Ene/2014      2867         2974entas                acuat         -27.00              22.00       -594.00 

        21/Ene/2014      2868         2975entas                stvbo           -6.00             22.00       -132.00 
--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        21/Ene/2014      2874         2981entas              MOSTR             -2.00             25.00         -50.00 
        21/Ene/2014      2875         2982entas                pepe            -2.00             17.00         -34.00 
        21/Ene/2014      2876         2983entas                pdivi         -15.00              17.00       -255.00 
